,Session,Trial,Time-to-Target,Target,Success,Stim Paradigm,Path Efficiency,Shortest Distance,ToD,Average Speed,Total Distance,AD,Target Crosses,Tuning Width
36,1,37,5.514254332,"[[351, 276], b'E']",0,Combined,0.592743887,10.40484695,3.268540545,3.539193701,17.55369762,0.078031267,0,Narrow
37,1,38,5.506511211,"[[351, 159], b'D']",0,Combined,0.348119862,22.48162724,1.916925921,11.78311114,64.58013378,0.185563609,0,Narrow
38,1,39,2.15316665,"[[468, 159], b'G']",1,Combined,0.17682139,5.417690778,0.380725921,10.23899537,30.63934045,0.153766198,1,Narrow
39,1,40,1.446835874,"[[351, 159], b'D']",1,Combined,0.656264595,11.7865382,0.949507158,12.35377884,17.96003975,0.497025976,1,Narrow
40,1,41,0.618105529,"[[468, 391], b'I']",1,Combined,0.849182282,7.21070018,0.524884264,13.55135705,8.491345534,0.581003214,1,Narrow
41,1,42,5.507176399,"[[351, 159], b'D']",0,Combined,0.276492869,12.39674454,1.522695001,8.793155713,44.83567551,0.125583915,0,Narrow
42,1,43,2.77503442,"[[468, 391], b'I']",1,Combined,0.326119221,8.302961772,0.904992062,8.881527399,25.45989702,0.104871349,0,Narrow
43,1,44,5.507641792,"[[235, 159], b'A']",0,Combined,0.280956624,18.0355616,1.547408442,9.098508731,64.19340239,0.147137894,2,Narrow
44,1,45,4.079472898,"[[351, 159], b'D']",1,Dim Visual Only,0.235234053,12.03447496,0.959630945,12.51529482,51.1595783,0.402685985,1,Narrow
45,1,46,5.506728888,"[[351, 391], b'F']",0,Combined,0.403890667,18.88275971,2.224116403,9.870499115,46.75215658,0.096045872,1,Narrow
46,1,47,5.500330687,"[[235, 276], b'B']",0,Sham,0.353559496,17.78466747,1.944694145,9.200214222,50.30176723,0.261640909,2,Narrow
47,1,48,1.969347117,"[[351, 391], b'F']",1,Combined,0.390141646,8.628923834,0.768324327,11.20490539,22.11741278,0.294397993,0,Narrow
48,1,49,5.509460211,"[[468, 276], b'H']",0,Combined,0.090715044,3.363245829,0.499790927,7.336902549,37.07484083,0.071503221,0,Narrow
49,1,50,0.744724629,"[[351, 391], b'F']",1,Combined,0.800869261,7.622316484,0.596427064,12.65791249,9.517554055,0.557564233,1,Narrow
50,1,51,5.512241364,"[[351, 159], b'D']",0,Sham,0.210991089,12.61894119,1.163033806,11.09672326,59.8079344,0.038199405,0,Narrow
51,1,52,5.503502131,"[[235, 391], b'C']",0,Combined,0.299183827,15.35344664,1.646558831,9.984455659,51.31776934,0.166706854,1,Narrow
52,1,53,5.509928465,"[[351, 391], b'F']",0,Combined,0.277604628,12.07591243,1.529581643,7.951073723,43.50040023,0.214400105,2,Narrow
53,1,54,5.509180546,"[[235, 159], b'A']",0,Dim Visual Only,0.344725782,16.33876213,1.899156571,9.106200848,47.39640314,0.089735725,1,Narrow
54,1,55,3.711452363,"[[468, 276], b'H']",1,Combined,0.131672976,4.689065402,0.488697979,10.70213116,35.61144844,0.133820861,1,Narrow
55,1,56,5.51218462,"[[235, 391], b'C']",0,Combined,0.396061862,17.82419796,2.183166107,8.494190039,45.00357053,0.055877998,1,Narrow
56,1,57,5.514596224,"[[351, 391], b'F']",0,Combined,0.128530511,9.293635397,0.708793869,13.47286521,72.30684247,0.058696876,1,Narrow
57,1,58,3.365550616,"[[468, 276], b'H']",1,Combined,0.087592249,2.335422606,0.294796146,7.498320519,26.66243469,0.073226694,0,Narrow
58,1,59,5.501697302,"[[235, 159], b'A']",0,Combined,0.317256578,16.9291528,1.745449659,10.02952204,53.36107736,0.055238023,1,Narrow
59,1,60,5.503232002,"[[235, 159], b'A']",0,Combined,0.292309389,12.94696891,1.608646382,8.103350525,44.29200502,0.304451511,2,Narrow
60,1,61,5.504578829,"[[235, 391], b'C']",0,ICMS Only,0.876617521,17.31344556,4.825410248,4.590406267,19.75028463,0.278609564,1,Narrow
61,1,62,0.573029874,"[[351, 276], b'E']",1,Combined,0.658723094,4.879252937,0.377468012,19.46135286,7.407138115,0.444014937,0,Narrow
62,1,63,0.5,"[[468, 276], b'H']",1,Combined,0.795516084,2.521133333,0.397758042,5.730481133,3.169179584,0.64466679,0,Narrow
63,1,64,5.507057905,"[[235, 159], b'A']",0,Bright Visual Only,0.47336288,18.1401164,2.606836792,6.972584496,38.32179739,0.060133899,0,Narrow
64,1,65,5.505805492,"[[235, 159], b'A']",0,Combined,0.370465455,18.17699721,2.039710739,9.843026209,49.06529594,0.111501058,1,Narrow
65,1,66,5.514787436,"[[235, 391], b'C']",0,Combined,0.277705665,15.26480008,1.531487712,10.87093077,54.9675502,0.1455145,2,Narrow
66,1,67,5.516628027,"[[235, 159], b'A']",0,Combined,0.385522761,17.94941028,2.126785667,8.745686911,46.55862663,0.125615985,2,Narrow
67,1,68,2.259469865,"[[468, 159], b'G']",1,Combined,0.440712534,12.24401408,0.995776689,12.2581023,27.78231419,0.195043828,1,Narrow
68,1,69,5.503042698,"[[351, 276], b'E']",0,Combined,0.054202456,3.614344897,0.298278431,12.9691174,66.68230837,0.058912975,0,Narrow
69,1,70,5.51054287,"[[235, 391], b'C']",0,Combined,0.27844557,11.92581206,1.534386249,7.827190915,42.82995799,0.235195636,2,Narrow
70,1,71,5.502650261,"[[468, 159], b'G']",0,Dim Visual Only,0.161833122,6.063268607,0.890511073,7.030224951,37.46617822,0.11112053,0,Narrow
71,1,72,5.514112234,"[[235, 276], b'B']",0,Combined,0.227077944,10.80292188,1.252133268,8.897276307,47.57362909,0.067832838,1,Narrow
72,1,73,5.508149862,"[[351, 159], b'D']",0,ICMS Only,0.04188118,2.824102853,0.230687816,12.29518461,67.43131043,0.157459058,4,Narrow
73,1,74,5.500439644,"[[235, 391], b'C']",0,Combined,0.403345919,16.07876627,2.218579884,7.62747491,39.86346585,0.044302366,1,Narrow
74,1,75,5.501219988,"[[468, 276], b'H']",0,Combined,0.093491084,3.304487075,0.514315022,6.867389744,35.34547807,0.100252149,0,Narrow
75,1,76,5.515152216,"[[351, 159], b'D']",0,Combined,0.293153581,11.39237776,1.616786623,8.416894353,38.86146542,0.111736937,1,Narrow
76,1,77,2.489046691,"[[351, 391], b'F']",1,Combined,0.377726025,10.61134404,0.940177712,11.26479029,28.09270036,0.454570135,1,Narrow
77,1,78,5.516515732,"[[235, 391], b'C']",0,Combined,0.458710794,17.73587761,2.530485312,7.270858873,38.66461797,0.056944613,0,Narrow
78,1,79,5.503512144,"[[468, 391], b'I']",0,Combined,0.210169136,7.98569957,1.156668391,7.71010403,37.99653809,0.181869689,1,Narrow
79,1,80,5.503014803,"[[351, 276], b'E']",0,Combined,0.111013535,5.400265388,0.610909128,8.894544161,48.64510781,0.239091517,1,Narrow
80,1,81,5.508130312,"[[235, 276], b'B']",0,Combined,0.437793535,11.50233134,2.411423843,5.404278167,26.27341524,0.121387517,0,Narrow
81,1,82,5.516122818,"[[351, 391], b'F']",0,Dim Visual Only,0.361928861,21.03873596,1.996444049,10.59149882,58.12947852,0.169531211,3,Narrow
82,1,83,5.506778717,"[[468, 276], b'H']",0,Combined,0.330862663,16.20726591,1.82198747,8.956374124,48.98487418,0.214071344,3,Narrow
83,1,84,5.506249905,"[[468, 391], b'I']",0,Combined,0.366601597,11.44119733,2.018600009,6.556176752,31.20880384,0.215585136,1,Narrow
84,1,85,5.50009799,"[[468, 276], b'H']",0,Combined,0.113907809,4.832474574,0.626504112,7.780525432,42.42443611,0.187279019,0,Narrow
85,1,86,5.511379004,"[[235, 391], b'C']",0,Combined,1.316075605,17.92129975,7.253391455,2.629945291,13.61722662,0.163157704,0,Narrow
86,1,87,5.504687548,"[[235, 159], b'A']",0,Combined,0.510234043,18.16944669,2.80867898,7.255166855,35.61002436,0.103486598,1,Narrow
87,1,88,5.509526014,"[[468, 391], b'I']",0,Combined,0.231009176,7.876817577,1.272751063,6.326908553,34.09742299,0.014400599,0,Narrow
88,1,89,5.507556677,"[[468, 391], b'I']",0,Combined,0.060774,2.876451717,0.334716252,9.595642697,47.33030071,0.150937967,1,Narrow
89,1,90,5.50729084,"[[468, 391], b'I']",0,Sham,0.171688251,7.92927109,0.945537133,9.025120422,46.18412174,0.168404911,1,Narrow
90,1,91,5.50813508,"[[468, 391], b'I']",0,Combined,0.238964821,10.58565681,1.316250516,8.097105782,44.29797132,0.150959234,1,Narrow
91,1,92,5.517294884,"[[235, 276], b'B']",0,Combined,0.571668355,19.11263468,3.15406289,6.782415997,33.43308147,0.221732977,0,Narrow
92,1,93,5.501885176,"[[351, 159], b'D']",0,Combined,0.329412324,16.65239629,1.812388783,9.243080996,50.55183145,0.243325562,1,Narrow
93,1,94,2.020166753,"[[468, 159], b'G']",1,Dim Visual Only,0.231874513,5.362504221,0.468425181,13.59006478,23.12675145,0.156797121,0,Narrow
94,1,95,5.517323256,"[[235, 159], b'A']",0,Sham,0.464974809,18.3132767,2.565416325,7.198523802,39.38552447,0.230887431,1,Narrow
95,1,96,5.51279211,"[[235, 159], b'A']",0,Combined,0.24591461,12.5503506,1.355676124,9.312456511,51.03540038,0.34493741,2,Narrow
96,1,97,5.511480331,"[[235, 391], b'C']",0,Combined,0.493729332,16.80503525,2.7211795,6.269151661,34.03693922,0.373948009,2,Narrow
97,1,98,5.509237051,"[[235, 391], b'C']",0,Combined,0.049871763,1.682571931,0.274755366,6.178552952,33.73796761,0.175729864,2,Narrow
98,1,99,5.514356136,"[[351, 276], b'E']",0,Combined,0.127344801,6.039216971,0.702224587,9.252665257,47.42413437,0.205002815,1,Narrow
99,1,100,5.503515244,"[[351, 391], b'F']",0,Combined,0.30804743,19.37502968,1.695343729,11.48336663,62.89625482,0.133479707,1,Narrow
100,1,101,5.51292181,"[[351, 159], b'D']",0,Combined,0.835708736,12.97138494,4.607196916,2.877693723,15.52141839,0.023639987,0,Narrow
101,1,102,5.508585215,"[[235, 391], b'C']",0,Combined,0.399956876,16.88524751,2.203196532,8.346471944,42.21767029,0.030366979,0,Narrow
102,1,103,5.015622298,"[[468, 159], b'G']",1,Combined,0.31669686,17.65235191,1.588431831,10.48033899,55.73895466,0.353465948,1,Narrow
103,1,104,5.504441261,"[[235, 159], b'A']",0,Combined,0.353374929,17.82716789,1.945131538,9.219843762,50.44830985,0.194890376,1,Narrow
104,1,105,5.51073432,"[[235, 159], b'A']",0,Combined,0.351934744,16.99557375,1.93941887,9.526459447,48.29183267,0.084395504,1,Narrow
105,1,106,5.5012362,"[[351, 276], b'E']",0,Dim Visual Only,0.056929418,3.093261468,0.313182176,9.930270193,54.3350269,0.148734161,2,Narrow
106,1,107,0.876475451,"[[235, 159], b'A']",1,ICMS Only,0.784116073,6.991779492,0.687258489,10.15276022,8.916765935,0.864085527,1,Narrow
107,1,108,0.545727609,"[[351, 276], b'E']",1,Combined,0.805198835,6.312556468,0.439419235,23.3068572,7.839748632,0.851046423,0,Narrow
108,1,109,5.504039526,"[[351, 391], b'F']",0,Combined,0.196859958,8.839874826,1.083524991,8.21342932,44.9043823,0.205884229,2,Narrow
109,1,110,1.742127536,"[[351, 276], b'E']",1,Combined,0.460711701,4.445475583,0.80261854,7.264460639,9.649148424,0.336836504,0,Narrow
110,1,111,4.020994762,"[[468, 391], b'I']",1,Combined,0.21408822,7.543135092,0.860847611,8.137158886,35.23376997,0.193840849,0,Narrow
111,1,112,5.500147104,"[[351, 159], b'D']",0,Combined,0.304401003,12.71285495,1.674250294,8.346786445,41.76351206,0.108181562,1,Narrow
112,1,113,5.500067472,"[[235, 276], b'B']",0,Dim Visual Only,0.390808782,19.13754507,2.149474672,9.61493979,48.96907626,0.220061679,0,Narrow
113,1,114,5.514681101,"[[235, 391], b'C']",0,Combined,0.275369396,14.20117259,1.518574403,9.406309421,51.57135397,0.217408145,2,Narrow
114,1,115,0.506520211,"[[468, 276], b'H']",1,Combined,0.632631252,3.206523963,0.320440515,13.47391592,5.06855131,0.294132211,0,Narrow
115,1,116,1.462658761,"[[351, 159], b'D']",1,Combined,0.429734534,8.033654973,0.628554981,12.71431423,18.6944598,0.303693973,1,Narrow
116,1,117,5.512353659,"[[235, 276], b'B']",0,Combined,0.385813941,17.05747708,2.12674289,8.396154728,44.21166594,0.150750046,1,Narrow
117,1,118,5.501000404,"[[235, 391], b'C']",0,Combined,0.232557152,15.77763916,1.279296987,12.79220257,67.84413648,0.048985811,1,Narrow
118,1,119,5.505227566,"[[235, 276], b'B']",0,Sham,0.281449314,13.88603633,1.549442524,9.016780955,49.33760938,0.323868086,2,Narrow
119,1,120,5.515912533,"[[235, 276], b'B']",0,Sham,0.163029325,8.360170638,0.899255499,10.16506914,51.28016457,0.049298292,4,Narrow
120,1,121,2.897792192,"[[468, 159], b'G']",1,Combined,0.179201834,6.63233061,0.519289675,11.07342313,37.0103947,0.206530946,2,Narrow
121,1,122,5.513109207,"[[468, 391], b'I']",0,Bright Visual Only,0.154475936,8.808768024,0.851642703,11.3192683,57.02356154,0.053753119,2,Narrow
122,1,123,1.064236043,"[[351, 276], b'E']",1,Combined,0.478497887,6.119346992,0.509234698,16.4859369,12.78866043,0.576452863,0,Narrow
123,1,124,5.506232738,"[[235, 276], b'B']",0,Combined,0.782854922,15.63448737,4.3105814,4.278480877,19.97111717,0.441023513,1,Narrow
124,1,125,5.513412714,"[[351, 276], b'E']",0,Combined,0.484007106,17.07343245,2.668530931,7.449326727,35.275169,0.2214716,0,Narrow
