,Session,Trial,Time-to-Target,Target,Success,Stim Paradigm,Path Efficiency,Shortest Distance,ToD,Average Speed,Total Distance,AD,Target Crosses
0,1.0,1,15.001223087310791,"[[267, 183], b'A']",0,Combined,0.1975339106723327,18.23374969539461,2.9632502613045846,6.175786006945608,92.30693420351798,0.13042248259009157,0
1,1.0,2,15.002736330032349,"[[264, 384], b'C']",0,Combined,0.07253532166214796,13.124912048908088,1.0882283055112896,12.083409963509197,180.94511402376853,0.1598462877126869,2
2,1.0,3,15.005500078201294,"[[467, 184], b'B']",0,Combined,0.03965751771391987,6.535037493381438,0.5950808851574938,7.178367233347597,164.78685177735233,0.0551782437079418,0
3,1.0,4,15.001937627792358,"[[267, 183], b'A']",0,Combined,0.10445203890741848,20.530091101360796,1.5669829727848328,6.916728154989661,196.55041027545406,0.07644754910592068,0
4,1.0,5,3.135390637412904,"[[267, 183], b'A']",1,Combined,0.474136404949564,16.744283567868692,1.4866028449354762,11.258913595736125,35.31532991998338,0.4399961249748331,0
5,1.0,6,15.005664348602295,"[[464, 386], b'D']",0,Combined,0.039203934640497644,5.944848662986333,0.58828108435985,8.552566541071188,151.6390820845137,0.20810689344312977,0
6,1.0,7,1.0706005891164145,"[[267, 183], b'A']",1,Combined,1.428963936538881,7.7110967543558235,1.5298496322846369,1.7967210538586826,5.396285068630218,0.6554469070283655,0
7,1.0,8,15.004004001617432,"[[264, 384], b'C']",0,Combined,0.026369290594787185,8.654240814737244,0.3956449416039998,13.952923608558837,328.19391874152495,0.20169997196290823,0
8,1.0,9,15.00944709777832,"[[464, 386], b'D']",0,Combined,0.18652141113663412,17.772585699885774,2.79958325305827,6.403976751839058,95.28442655233115,0.13561262422330203,0
9,1.0,10,14.114595848416526,"[[467, 184], b'B']",1,Combined,0.030477707531786018,16.45060710069897,0.4301805241974,11.786837455230565,539.7586771755124,0.10153420967066745,1
10,1.0,11,15.01203179359436,"[[267, 183], b'A']",0,Combined,0.15654745761971228,18.095964640549806,2.3500954109934864,6.705821566532133,115.59411385976532,0.07528672256790139,1
11,1.0,12,15.00552248954773,"[[267, 183], b'A']",0,Combined,0.1978433395955444,18.916290892822165,2.96874268170817,6.3947307123401265,95.61247263361591,0.08427258354642839,0
12,1.0,13,15.007834434509277,"[[267, 183], b'A']",0,Combined,0.2276520355134473,17.16560074938059,3.4165640576648433,5.317625030518567,75.40279932338504,0.07525795413393042,0
13,1.0,14,4.570179818168519,"[[464, 386], b'D']",1,Combined,0.1352299865371899,11.15315623135102,0.6180253552834658,7.7223817346697645,82.4754665510801,0.3537371315338127,0
14,1.0,15,15.005130767822266,"[[467, 184], b'B']",0,Combined,0.06647604507661858,7.731955453498684,0.9974817493023094,7.774105898155833,116.31190520716193,0.08071321807492626,0
15,1.0,16,15.005229711532593,"[[264, 384], b'C']",0,Combined,0.12564509736407878,21.186177017914464,1.8853335480758804,7.129734607374716,168.61920968172586,0.022483703862437282,0
16,1.0,17,15.009506225585938,"[[264, 384], b'C']",0,Combined,0.24960139010306712,21.48253451167876,3.74639361866689,5.736303207262594,86.06736726429307,0.11981307835063738,0
17,1.0,18,15.014059782028198,"[[467, 184], b'B']",0,Combined,0.08019386279502207,6.44828000916837,1.2040354501562283,5.4320220342391,80.40864705133818,0.06624120399727274,0
18,2.0,1,6.088498278269692,"[[267, 183], b'A']",1,Combined,0.4011489854931571,18.42615369330331,2.4423949075047204,6.300475689396814,45.933442086737195,0.34380075664755855,0
19,2.0,2,15.016661405563354,"[[464, 386], b'D']",0,Combined,0.08800088402490239,7.9151562630774075,1.3214794787922084,6.003156663557795,89.94405398061213,0.031853139605800024,0
20,2.0,3,0.5,"[[467, 184], b'B']",1,Combined,1.73065565598256,6.579310148122643,0.86532782799128,8.982412850661623,3.8016286633214245,0.7474959214931021,0
21,2.0,4,15.000612497329712,"[[267, 183], b'A']",0,Combined,0.32381301645737975,19.98609594090506,4.857393581468602,3.9792868099853353,61.721101145221034,0.14029128257963283,0
22,2.0,5,15.018810272216797,"[[464, 386], b'D']",0,Combined,0.027191610877135487,8.717306098839485,0.40838564475964445,7.357013732100808,320.5880717486133,0.08785593096561449,0
23,2.0,6,15.01474666595459,"[[464, 386], b'D']",0,Combined,0.02238118157805123,6.499788033406524,0.336047771479169,6.063089574221426,290.41308702757385,0.08333955738754449,0
24,2.0,7,15.015611171722412,"[[464, 386], b'D']",0,Combined,0.02393980352924838,8.036918035241243,0.3594707813226216,10.630131974528384,335.71361709055645,0.06602854779304526,1
25,2.0,8,15.009512662887573,"[[264, 384], b'C']",0,Combined,0.029255248501778856,17.46108402991771,0.43910702284337244,13.810447350038581,596.8530408776393,0.09905803850070369,1
26,2.0,9,14.528246281638978,"[[464, 386], b'D']",1,Combined,0.03855632875590843,7.7733367953352,0.5601558398816766,7.376694865551184,201.60987952318987,0.11630143944169515,0
27,2.0,10,15.017354249954224,"[[264, 384], b'C']",0,Combined,0.19208436476682472,16.721291623622065,2.884598951580833,5.812550038699544,87.05180998943041,0.03229945913679326,0
28,2.0,11,15.005621433258057,"[[464, 386], b'D']",0,Combined,0.10678380474674917,6.876716900458695,1.6023573492326628,4.3433758862010805,64.39850047268561,0.09737141836919305,0
29,2.0,12,15.013320207595825,"[[264, 384], b'C']",0,Combined,0.14383838459270754,16.309673561703885,2.159491726033636,6.799233015195831,113.388881611027,0.05895048306994665,0
30,2.0,13,15.01620888710022,"[[464, 386], b'D']",0,Combined,0.0154888102932082,7.554393315708606,0.23258321077548233,10.03751798420952,487.73231595593796,0.1262903622094653,0
