,Session,Trial,Time-to-Target,Target,Success,Stim Paradigm,Path Efficiency,Shortest Distance,ToD,Average Speed,Total Distance,AD,Target Crosses
0,1.0,1,2.625530837074159,"[[238, 280], b'B']",1,Combined,0.32584706798368,5.965066530543094,0.8555215251613517,7.0111282816987845,18.306337900950066,0.4399786983776478,0
1,1.0,2,12.013914823532104,"[[354, 280], b'E']",0,Combined,0.09986069300815599,9.16998956530634,1.199717860018874,7.880762049982465,91.82781822430766,0.06243027476434358,1
2,1.0,3,12.006718635559082,"[[238, 395], b'C']",0,Combined,0.2180317735595082,24.722156207670174,2.617846158740945,9.477072403599307,113.38785996217503,0.15924402034691962,1
3,1.0,4,12.004945755004883,"[[470, 280], b'H']",0,Combined,0.29109505706902766,16.640486500403988,3.4945803696637276,4.805553665537346,57.1651290405045,0.3467167451303389,1
4,1.0,5,12.003577947616577,"[[354, 163], b'D']",0,Combined,0.12790903053819577,15.14699924943112,1.535366018269302,10.337691616867586,118.42009266818712,0.10618766230288688,3
5,1.0,6,12.016281366348267,"[[239, 163], b'A']",0,Combined,0.17936282656215632,17.883336770819323,2.155274190634395,8.325387103669199,99.70481126769062,0.14749112122934072,2
6,1.0,7,7.464140532508729,"[[468, 396], b'I']",1,Combined,0.10190920931737986,5.8279638050321285,0.7606646599017712,8.101092751854372,57.187803183536346,0.056082712207733684,1
7,1.0,8,12.016520977020264,"[[238, 395], b'C']",0,Combined,0.23186717806919938,24.9275117748055,2.7862368091510272,8.981481818503719,107.50772050784191,0.07039102206498003,3
8,1.0,9,12.001026391983032,"[[354, 395], b'F']",0,Combined,0.05136566939610308,5.687921972386323,0.6164407540645082,9.255204276513021,110.73392090978656,0.11161020400151712,1
9,1.0,10,8.680070861937509,"[[468, 396], b'I']",1,Combined,0.14953233308474728,14.913901454862067,1.297951247326449,11.202485090799616,99.73696756546714,0.1955525112585498,4
10,1.0,11,12.007859706878662,"[[238, 395], b'C']",0,Combined,0.15957342207220493,16.871142933351795,1.9161352651895718,9.052774132882183,105.72652208785632,0.02671327499764588,2
11,1.0,12,12.009926319122314,"[[468, 396], b'I']",0,Combined,0.18422137254279847,22.056652665605128,2.2124851106465924,10.001664267481269,119.7290648807912,0.06410865486733781,3
12,1.0,13,12.007680892944336,"[[354, 163], b'D']",0,Combined,0.24164057100440678,21.414979734103436,2.9015428674097743,7.409108918197276,88.62327896797137,0.17120898823475697,1
13,1.0,14,12.020896434783936,"[[470, 280], b'H']",0,Combined,0.06646178351500698,6.2545587206972435,0.7989302165049291,7.949568421824265,94.10759672564268,0.06378923732640134,0
14,1.0,15,12.00243067741394,"[[470, 163], b'G']",0,Combined,0.08595630359508508,7.5276155485381935,1.0316845751867554,7.445349928202952,87.57490996819247,0.12180943708958804,0
15,1.0,16,9.617907236492822,"[[354, 280], b'E']",1,Combined,0.1542791035570127,10.823875490517628,1.4838421065406178,6.752986342864821,70.15775462110943,0.18146887978790718,2
16,1.0,17,1.0259555559309703,"[[468, 396], b'I']",1,Combined,0.8850389054979603,8.034886509956346,0.9080105823106973,14.280354867863617,9.078568704768498,0.7278683219342357,1
17,1.0,18,5.958611488342285,"[[468, 396], b'I']",1,Combined,0.2264782155480464,12.785944499242172,1.3494956970238496,7.152118414311825,56.45551590161522,0.19679861554988096,1
18,1.0,19,12.007212162017822,"[[238, 395], b'C']",0,Combined,0.2506323094829882,16.92214467351235,3.0093953146187506,5.681677586303713,67.51781008769322,0.07417216772837194,0
19,1.0,20,12.000805616378784,"[[354, 163], b'D']",0,Combined,0.14224021034158862,12.732355888032872,1.7069971151422363,7.590238570327714,89.51305581914025,0.10843044589657846,0
20,1.0,21,12.011313438415527,"[[470, 163], b'G']",0,Combined,0.09637362286215405,7.821223002743739,1.1575737913929809,7.185527686865155,81.15522453618516,0.09352138651435014,0
21,1.0,22,12.0149405002594,"[[354, 395], b'F']",0,Combined,0.11460706770819848,14.949685129335457,1.376997099423205,10.880721534014489,130.44295983035627,0.03621506848107127,0
22,1.0,23,1.1935449819716197,"[[238, 395], b'C']",1,Combined,0.932114859327464,15.774405119595231,1.1125210129714769,14.123831353180407,16.92324176762585,0.925636207516223,2
23,1.0,24,12.01535964012146,"[[354, 163], b'D']",0,Combined,0.07131504796324688,9.251262019300768,0.8568759490309227,10.824496495873491,129.72384207143102,0.02059737268092169,1
24,1.0,25,12.001035928726196,"[[238, 280], b'B']",0,Combined,0.13222588102220934,12.639147305387484,1.5868475488550096,7.99272552088652,95.58754464464145,0.12212807836717315,2
25,1.0,26,12.00264596939087,"[[238, 395], b'C']",0,Combined,0.19406459254980005,20.67978948218266,2.3292885995693386,8.910249253128548,106.56137325450493,0.27304025058298254,0
26,1.0,27,12.00334882736206,"[[468, 396], b'I']",0,Combined,0.0866247796946944,8.097192466040287,1.039787447768807,7.815222004529232,93.4743210265991,0.12731458527084213,0
27,1.0,28,9.144850609794496,"[[354, 280], b'E']",1,Combined,0.11725820324342462,10.849607100825082,1.0723087514340386,10.119390528683343,92.52748891522424,0.08510745398248254,1
28,1.0,29,12.011369228363037,"[[239, 163], b'A']",0,Combined,0.15454149413784782,15.237528942968439,1.856254947192592,8.236914670489352,98.59830220987044,0.133065641041646,2
29,1.0,30,5.041163974338108,"[[238, 395], b'C']",1,Combined,0.3455710778033628,17.469276963817443,1.742080467995504,9.877832638100735,50.551906932899705,0.11404790782405295,2
30,1.0,31,2.0060025434645397,"[[470, 163], b'G']",1,Combined,0.5361589836230763,8.511763079762435,1.0755362848492536,7.956634984460527,15.875446163830887,0.5980697345583019,0
31,1.0,32,12.004492998123169,"[[238, 395], b'C']",0,Combined,0.22739891987797173,17.779293689369155,2.729808741455883,6.5725239271654265,78.18547994383611,0.1667067009537967,1
32,1.0,33,12.0207200050354,"[[239, 163], b'A']",0,Combined,0.11772245371567154,12.273924776879829,1.415108654421827,8.865376995723647,104.26154390669049,0.022044135566762588,1
33,1.0,34,9.556403016287183,"[[470, 163], b'G']",1,Combined,0.21062244613570136,18.50156884168887,2.012792979549001,8.846481316119117,87.8423415031869,0.2678661745020873,1
34,1.0,35,10.645225225933014,"[[354, 280], b'E']",1,Combined,0.16904881964884472,12.822624115179124,1.7995627593400825,6.536431125328278,75.85160394384779,0.144975045970956,1
35,1.0,36,12.015793085098267,"[[239, 163], b'A']",0,Combined,0.2656632188171092,16.284522093775887,3.1921542676275685,5.595275033391989,61.297616456972385,0.1291593673193108,0
36,1.0,37,5.112270234123109,"[[468, 396], b'I']",1,Combined,0.3170874814094826,13.881276505261583,1.6210368928227628,8.575916205068253,43.77743468003862,0.18611572450426908,0
37,1.0,38,12.00072455406189,"[[470, 280], b'H']",0,Combined,0.07511130996625966,5.164488910080696,0.9013901417998458,5.84411959831068,68.75780641291715,0.08032709314103069,0
38,1.0,39,12.020638465881348,"[[354, 395], b'F']",0,Combined,0.08542885428722703,8.780704437051426,1.026909371941214,8.578397209557778,102.78382532825657,0.028248275649288078,0
39,1.0,40,12.000980377197266,"[[238, 280], b'B']",0,Combined,0.01345991273484744,1.6865522081532496,0.16153214860969173,10.46879568550861,125.30186795244222,0.078600130236497,5
40,1.0,41,3.9902125578078014,"[[238, 395], b'C']",1,Combined,0.06643616083628619,5.599320508148499,0.265094403261488,9.279347642647135,84.28121730192234,0.10382545515961046,0
41,1.0,42,12.002275228500366,"[[238, 280], b'B']",0,Combined,0.20487629457898374,16.85813756674468,2.4589816753322804,6.933915543084629,82.28447122878605,0.04648893555539169,2
42,1.0,43,2.7109695654066783,"[[470, 163], b'G']",1,Combined,0.5739951383240313,12.507114868964523,1.5560833506878453,8.06733590083772,21.789583280240286,0.4475857671748584,1
43,1.0,44,12.016075611114502,"[[354, 280], b'E']",0,Combined,0.13531912306304875,11.105681657559682,1.6260048143553019,6.882542579507621,82.07030467072457,0.08632237241274399,0
44,1.0,45,12.016294956207275,"[[238, 395], b'C']",0,Combined,0.13362337625707002,14.848887774492487,1.6056579021492174,9.304550221211658,111.1249258208055,0.08042569453692905,0
45,1.0,46,12.011994123458862,"[[354, 163], b'D']",0,Combined,0.12658606179131293,13.192547026041026,1.5205510303490513,8.95684370113421,104.21800662216647,0.1375829510364903,1
46,1.0,47,12.014987707138062,"[[354, 163], b'D']",0,Combined,0.12179978887091196,12.689182425305205,1.4634229660160185,8.698676349827819,104.18066026989327,0.11055039684286207,1
47,1.0,48,12.009011268615723,"[[354, 395], b'F']",0,Combined,0.11291723304427398,9.880883254613778,1.356024324049594,7.382036257851229,87.50553824445521,0.03128343389681775,0
48,1.0,49,12.01535677909851,"[[354, 280], b'E']",0,Combined,0.1218263008906418,10.479706826047986,1.4637864702788679,7.187182362742415,86.02171082462043,0.10583343545968277,0
49,1.0,50,12.017770290374756,"[[238, 395], b'C']",0,Combined,0.230518813376639,22.33288096452889,2.770322146770215,8.089512495252672,96.88094710100624,0.1011645416708609,1
50,2.0,1,10.01269268989563,"[[468, 396], b'I']",0,Combined,0.1998588400171212,18.934382410656628,2.0011251464504496,9.497776696273812,94.73877867516185,0.09474988795911181,2
51,2.0,2,10.013056755065918,"[[238, 280], b'B']",0,Combined,0.07124240164714206,6.319885698155969,0.713354211060035,8.900882409837157,88.70961045723668,0.2151041042728606,1
52,2.0,3,10.011008024215698,"[[238, 280], b'B']",0,Combined,0.16753671187316807,15.248214936695437,1.677211366912999,9.127458277473709,91.01417096116187,0.09078298613559196,0
53,2.0,4,10.002570629119873,"[[354, 395], b'F']",0,Combined,0.19588102446938202,21.116429425514088,1.9593137821593518,10.816324772109166,107.80232277585814,0.12586943607511317,4
54,2.0,5,10.005261182785034,"[[239, 163], b'A']",0,Combined,0.27572546401417763,19.01871326643749,2.7587052822064435,6.933687320690578,68.97699251114348,0.09902536751085136,2
55,2.0,6,10.013995170593262,"[[238, 280], b'B']",0,Combined,0.19619847088878997,19.815995091463233,1.9647305399581254,10.122049618407063,100.9997427691239,0.13074484646144044,0
56,2.0,7,10.012680053710938,"[[470, 163], b'G']",0,Combined,0.18098811976140683,19.78364598417092,1.8121761366936846,10.953470964380225,109.30908619997447,0.17975197604367044,3
57,2.0,8,10.018177032470703,"[[354, 395], b'F']",0,Combined,0.17214356115047952,9.807153457750468,1.7245646706054498,6.209317972346724,56.97078294539018,0.09938130860669007,0
58,2.0,9,10.013535976409912,"[[238, 395], b'C']",0,Combined,0.18825751009929573,17.95920651484464,1.8851233502086502,10.049970059619106,95.39702562395584,0.04717652454978519,1
59,2.0,10,10.014362335205078,"[[470, 163], b'G']",0,Combined,0.11182221182240158,9.015286707379541,1.1198281463135824,8.719729122891254,80.62160961095826,0.1456046299921618,1
60,2.0,11,10.001245737075806,"[[354, 395], b'F']",0,Combined,0.12268694730581316,9.729552574710032,1.227022308737108,8.6001885804496,79.30389326957382,0.09188379720892313,2
61,2.0,12,10.019279718399048,"[[354, 280], b'E']",0,Combined,0.15275096383579953,11.079254804884542,1.5304546339259326,7.275669242169743,72.53148868372605,0.14793881237384904,1
62,2.0,13,10.006690263748169,"[[354, 280], b'E']",0,Combined,0.18503514013598363,14.070697089626268,1.8515893352500254,8.197199337150924,76.04337791884079,0.16544233671654587,0
63,2.0,14,0.8269060831221323,"[[468, 396], b'I']",1,Combined,0.8450725396309204,7.819893248877395,0.6987956237002774,18.72444023049304,9.253517162316832,0.45766413902152153,0
64,2.0,15,10.0042245388031,"[[468, 396], b'I']",0,Combined,0.191988227898184,15.090064270894402,1.9206933407003346,7.892976591424182,78.59890388121623,0.002040905133945627,0
65,2.0,16,10.002678394317627,"[[354, 280], b'E']",0,Combined,0.10042162892041767,12.742146670098043,1.004485257924444,11.52105590661402,126.88647661945379,0.21825102511575636,0
66,2.0,17,10.012802839279175,"[[238, 280], b'B']",0,Combined,0.14437948865979114,12.820993284536309,1.4456433539864322,8.90919694683477,88.8006558517954,0.12694738438057343,2
67,2.0,18,10.006301879882812,"[[470, 280], b'H']",0,Combined,0.10931188358368003,8.459060107417972,1.0938077061969087,7.769995031029474,77.38463404065692,0.16979340742428417,2
68,2.0,19,10.002761840820312,"[[468, 396], b'I']",0,Combined,0.10319751056961832,8.516668562602183,1.032260120793429,8.385355136020657,82.52784893349468,0.1050587656323363,0
69,2.0,20,1.0269707422407848,"[[470, 280], b'H']",1,Combined,0.0982263513644558,1.3962351035873204,0.1008755889683593,15.827584595067192,14.214465713042479,0.4013645943611244,0
70,2.0,21,10.012983083724976,"[[354, 395], b'F']",0,Combined,0.2744178935434983,12.79193730148009,2.74774172592249,4.945074339544593,46.61480757067477,0.13945178192319307,0
71,2.0,22,10.002580165863037,"[[238, 280], b'B']",0,Combined,0.2092342292228527,16.216074669528783,2.092882151244147,8.309809120045529,77.50201642321748,0.10992499604549162,1
72,2.0,23,10.00833249092102,"[[354, 280], b'E']",0,Combined,0.05427276463390403,5.636886710055152,0.543179873657611,10.778993107451333,103.86216269023093,0.1805268970750978,1
73,2.0,24,10.015697002410889,"[[354, 163], b'D']",0,Combined,0.1220159342244951,10.665239627691559,1.2220746266586398,6.252096277652072,87.40858065364448,0.23895951445983526,0
74,2.0,25,4.939220784202455,"[[354, 163], b'D']",1,Combined,0.3329224216643065,10.509459951894451,1.6443773446113563,6.424017079929793,31.56729396403161,0.22036164279060427,0
75,2.0,26,10.010971307754517,"[[239, 163], b'A']",0,Combined,2.9527597605903475,17.133004965238857,29.559993241962065,0.6476658311307658,5.802370106064248,0.21241763102470027,0
76,2.0,27,10.005172491073608,"[[238, 280], b'B']",0,Combined,0.015562731202604672,1.607152939071264,0.15570781011427318,10.354906027878803,103.26933737712318,0.219676680625064,2
77,2.0,28,3.3487404565962535,"[[470, 163], b'G']",1,Combined,0.3223990769398367,9.029573260652702,1.0796308321177195,8.3846060522204,28.00744141813322,0.3564170224792828,1
78,2.0,29,10.017662525177002,"[[468, 396], b'I']",0,Combined,0.11757320940131334,7.3766559574663555,1.177808733784325,6.795760000292366,62.7409593990717,0.12216912793122567,1
79,2.0,30,10.011992692947388,"[[239, 163], b'A']",0,Combined,0.10763067171225313,11.298193460374106,1.0775974987200974,10.518475894031223,104.97187540164606,0.14008976482786942,3
80,2.0,31,10.00467848777771,"[[238, 395], b'C']",0,Combined,0.27797276370973345,18.18136319462268,2.781028129274887,7.047418917193201,65.40699510261423,0.021897478903998385,1
81,2.0,32,10.00614595413208,"[[238, 280], b'B']",0,Combined,0.1169721648028646,13.939968223354095,1.1704405535882545,11.943329264486115,119.17337981089251,0.02696566426763447,1
82,2.0,33,4.294251797691224,"[[354, 395], b'F']",1,Combined,0.21383038779620972,7.079280300299425,0.9182415271948852,8.821628732940079,33.10698901713777,0.08993927641167722,1
83,2.0,34,10.000765562057495,"[[354, 163], b'D']",0,Combined,0.13574757265996407,12.151461759107482,1.3575796497906663,9.541860803920668,89.51513107012119,0.16508730514509748,1
84,2.0,35,10.014459371566772,"[[354, 395], b'F']",0,Combined,0.0855999022482759,8.894341385797977,0.8572367432754463,10.445196847381824,103.90597596712935,0.08844733473810748,1
85,2.0,36,9.145534871116517,"[[470, 163], b'G']",1,Combined,0.10889591118513092,7.958301327820174,0.9959113530656221,8.000026561601839,73.08172769031233,0.126404473036624,2
86,2.0,37,10.015551567077637,"[[468, 396], b'I']",0,Combined,0.09858154366090856,7.906002070551899,0.9873485340979452,8.52284969234351,80.1975884831568,0.08927094065262449,1
87,2.0,38,10.005901336669922,"[[239, 163], b'A']",0,Combined,0.20664860365551235,17.28825594244064,2.067705539537664,9.066582003310069,83.66016337212,0.1389743266282541,1
88,2.0,39,10.006926774978638,"[[354, 395], b'F']",0,Combined,0.07046593836269263,8.22926909436716,0.7051474853256232,11.679464187727229,116.7836444894921,0.018064937783745273,0
89,2.0,40,10.006942510604858,"[[238, 280], b'B']",0,Combined,0.17083819370061332,15.04891415222075,1.7095679829776145,8.836312364287645,88.08869858805305,0.12487947362260762,1
90,2.0,41,0.813225027114626,"[[470, 163], b'G']",1,Combined,0.9915834294747118,10.42764094320783,0.8063804613209863,10.024684157588972,10.516150868648381,0.9234445781658502,0
91,2.0,42,10.010195255279541,"[[354, 280], b'E']",0,Combined,0.1587156698390301,10.647110469658648,1.5887748451611732,6.740240783144928,67.08291928866872,0.14966084158076132,2
92,2.0,43,10.005172491073608,"[[238, 280], b'B']",0,Combined,0.015562731202604672,1.607152939071264,0.15570781011427318,10.354906027878803,103.26933737712318,0.219676680625064,2
93,2.0,44,3.3487404565962535,"[[470, 163], b'G']",1,Combined,0.3223990769398367,9.029573260652702,1.0796308321177195,8.3846060522204,28.00744141813322,0.3564170224792828,1
